action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-17.098902    2.857143   -3.3846154  -3.5164835  15.604396   -1.5384616
  28.263737 ]","[-20.999653    3.9229214   3.0486856  -3.4958224  15.60619    -1.5347884
  27.615637 ]",2.8666666,86,0,86,0
"[-16.21978     2.5054946  -3.3846154  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-21.07269     3.9267693   3.1034133  -3.4964497  15.608427   -1.5350935
  27.615637 ]",2.9,87,0,87,0
"[-14.989011    2.0659342  -3.2967033  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-21.099957    3.9256883   3.1546466  -3.497594   15.610962   -1.5354241
  27.615637 ]",2.9333334,88,0,88,0
"[-13.67033     1.7142857  -3.2967033  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-21.086985    3.9176457   3.1956005  -3.4984503  15.612878   -1.5356784
  27.648727 ]",2.9666667,89,0,89,0
"[-12.5274725   1.2747253  -3.3846154  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-21.032938    3.8999426   3.2306263  -3.4993067  15.614404   -1.5358734
  27.615637 ]",3.0,90,0,90,0
"[-10.857142    0.9230769  -3.3846154  -3.5164835  15.78022    -1.5384616
  28.175825 ]","[-20.932402    3.868017    3.2624023  -3.5002222  15.615599   -1.5361023
  27.615637 ]",3.0333333,91,0,91,0
"[-9.714286   0.6593407 -3.4725275 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-20.833477    3.8375258   3.2809825  -3.50079    15.616311   -1.5362549
  27.615637 ]",3.0666666,92,0,92,0
"[-9.098901   0.5714286 -3.4725275 -3.5164835 15.78022   -1.5384616
 28.175825 ]","[-20.647812    3.7803438   3.3035672  -3.5016463  15.617828   -1.5364499
  27.615637 ]",3.1,93,0,93,0
"[-9.010989   0.5714286 -3.4725275 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-20.40739     3.7065532   3.3222222  -3.5025363  15.620109   -1.5366364
  27.615637 ]",3.1333334,94,0,94,0
"[-9.010989    0.48351648 -3.4725275  -3.5164835  15.78022    -1.5384616
 28.175825  ]","[-20.134575    3.624217    3.3372738  -3.503291   15.623016   -1.5367974
  27.615637 ]",3.1666667,95,0,95,0
"[-8.923077    0.48351648 -3.8241758  -3.5164835  15.78022    -1.5384616
 28.175825  ]","[-19.813972    3.5289364   3.350735   -3.5040452  15.626475   -1.5369161
  27.615637 ]",3.2,96,0,96,0
"[-8.835165    0.48351648 -4.087912   -3.5164835  15.692307   -1.5384616
 28.175825  ]","[-19.421265    3.4147425   3.3638833  -3.5048761  15.630909   -1.5370603
  27.615637 ]",3.2333333,97,0,97,0
"[-8.659341    0.48351648 -4.4395604  -3.4285715  15.692307   -1.5384616
 28.175825  ]","[-19.095312    3.3217597   3.373034   -3.5054016  15.634393   -1.5371535
  27.615637 ]",3.2666667,98,0,98,0
